city;area;population
Baden-Baden, Stadt;140.21;52585
Nordhorn, Stadt;149.68;52380
Waiblingen, Stadt;42.76;52302
Neustadt an der Weinstraße, Stadt;117.1;52268
Bad Salzuflen, Stadt;100.05;52180
Bad Homburg v. d. Höhe, Stadt;51.16;52108
Schweinfurt;35.7;52098
Ahlen, Stadt;123.13;51877
Lingen (Ems), Stadt;176.13;51832
Wolfenbüttel, Stadt;78.51;51546
Langenhagen, Stadt;71.86;51533
Wetzlar, Stadt;75.67;51063
Willich, Stadt;67.77;50663
Frechen, Stadt;45.1;50607
Ibbenbüren, Stadt;108.87;50560
Speyer, Stadt;42.6;49764
Emden, Stadt;112.35;49751
Gummersbach, Stadt;95.42;49722
Erftstadt, Stadt;119.89;49164
Passau;69.57;49038
Ravensburg, Stadt;92.05;48915
Cuxhaven, Stadt;161.91;48657
Bergkamen, Stadt;44.84;48534
Peine, Stadt;119.65;48414
Bad Oeynhausen, Stadt;64.83;48354
Lörrach, Stadt;39.42;48160
Kleve, Stadt;97.76;47826
Elmshorn, Stadt;21.37;47490
Frankenthal (Pfalz), Stadt;43.76;47035
Wittenberg, Lutherstadt;240.34;46930
Rheda-Wiedenbrück, Stadt;86.72;46858
Rastatt, Stadt;59.02;46819
Soest, Stadt;85.81;46685
Herzogenrath, Stadt;33.4;46478
Schwerte, Hansestadt an der Ruhr;56.2;46376
Bornheim, Stadt;82.69;46365
Alsdorf, Stadt;31.67;46326
Heidenheim an der Brenz, Stadt;107.1;46137
Dülmen, Stadt;184.83;46071
Melle, Stadt;253.99;46035
Böblingen, Stadt;39.04;45805
Neunkirchen, Kreisstadt;75.1;45722
Gronau (Westf.), Stadt;78.82;45590
Hennef (Sieg), Stadt;105.89;45455
Singen (Hohentwiel), Stadt;61.77;45355
Freising, GKSt;88.6;45227
Stade, Hansestadt;110.04;45218
Bünde, Stadt;59.3;45189
Leonberg, Stadt;48.74;45108
Straubing;67.58;45099
Dachau, GKSt;34.96;44822
Oberursel (Taunus), Stadt;45.37;44500
Hof;58.03;44461
Filderstadt, Stadt;38.55;44375
Gotha, Stadt;69.52;44371
Fellbach, Stadt;27.7;43986
Albstadt, Stadt;134.41;43980
Brühl, Stadt;36.12;43875
Erkrath, Stadt;26.88;43786
Landau in der Pfalz, Stadt;82.96;43641
Kamen, Stadt;40.93;43496
Bad Kreuznach, Stadt;46.1;43454
Neustadt am Rübenberge, Stadt;357.51;43324
Lahr/Schwarzwald, Stadt;69.86;43315
Weinheim, Stadt;58.11;43315
Erkelenz, Stadt;117.34;42901
Rodgau, Stadt;65.04;42895
Lehrte, Stadt;127.06;42668
Wismar, Hansestadt;41.75;42433
Bruchsal, Stadt;93.01;42427
Kaarst, Stadt;37.4;42156
Bietigheim-Bissingen, Stadt;31.29;41961
Nordhausen, Stadt;105.32;41926
Bitterfeld-Wolfen, Stadt;87.44;41816
Eisenach, Stadt;103.84;41744
Pinneberg, Stadt;21.54;41726
Weiden i.d.OPf.;92637;70.54
Oranienburg, Stadt;161.89;41621
Amberg;50.14;41578
Kaufbeuren;40.03;41570
Memmingen;70.14;41551
Borken, Stadt;152.97;41455
Nettetal, Stadt;83.86;41438
Rottenburg am Neckar, Stadt;142.27;41402
Homburg, Kreisstadt;82.65;41357
Gifhorn, Stadt;104.87;41331
Coburg;48.29;41022
Heinsberg, Stadt;92.21;40913
Falkensee, Stadt;43.3;40905
Lemgo, Stadt;100.85;40808
Wunstorf, Stadt;125.68;40628
Aurich, Stadt;197.22;40604
Halberstadt, Stadt;142.98;40526
Goslar, Stadt;92.57;40455
Stendal, Hansestadt;268.02;40281
Pirmasens, Stadt;61.37;40267
Monheim am Rhein, Stadt;23.05;40205
Freiberg, Stadt;48.36;40083
Königswinter, Stadt;76.17;39908
Dreieich, Stadt;53.3;39760
Bautzen, Stadt;66.62;39743
Weißenfels, Stadt;113.55;39717
Buxtehude, Stadt;76.5;39685
Ansbach;99.91;39684
Nürtingen, Stadt;46.9;39480
Löhne, Stadt;59.51;39479
Bensheim, Stadt;57.83;39395
Laatzen, Stadt;34.06;39328
Kirchheim unter Teck, Stadt;40.47;39264
Schwabach;40.82;39137
Siegburg, Stadt;23.46;39103
Eberswalde, Stadt;93.41;38960
Ettlingen, Stadt;56.74;38866
Freital, Stadt;40.53;38757
Völklingen, Stadt;67.07;38659
Hückelhoven, Stadt;61.27;38593
Ahaus, Stadt;151.24;38578
Hofheim am Taunus, Kreisstadt;57.38;38363
Neumarkt i.d.OPf., GKSt;79.01;38355
Schorndorf, Stadt;56.83;38281
Germering, GKSt;21.61;38227
Pirna, Stadt;53.02;37668
Mettmann, Stadt;42.56;37564
Würselen, Stadt;34.39;37421
Buchholz in der Nordheide, Stadt;74.64;37321
Haltern am See, Stadt;158.5;37246
Leinfelden-Echterdingen, Stadt;29.89;37224
Schwäbisch Hall, Stadt;104.23;37096
Kamp-Lintfort, Stadt;63.14;37093
Warendorf, Stadt;176.88;37006
Niederkassel, Stadt;35.79;36734
Voerde (Niederrhein), Stadt;53.49;36729
Ostfildern, Stadt;22.81;36573
St. Ingbert, Stadt;49.96;36394
Maintal, Stadt;32.4;36254
Beckum, Stadt;111.46;36062
Bernau bei Berlin, Stadt;103.72;36020
Suhl, Stadt;102.71;35967
Papenburg, Stadt;118.41;35719
Coesfeld, Stadt;141.36;35693
Langen (Hessen), Stadt;29.12;35644
Hemer, Stadt;67.66;35487
Emsdetten, Stadt;72.06;35448
Neu-Isenburg, Stadt;24.31;35428
Porta Westfalica, Stadt;105.22;35347
Hoyerswerda, Stadt;95.06;35019
Wesseling, Stadt;23.37;34973
Greven, Stadt;140.26;34924
Kempen, Stadt;68.81;34825
Sinsheim, Stadt;127.01;34791
Wermelskirchen, Stadt;74.8;34679
Lage, Stadt;76.04;34636
Datteln, Stadt;66.09;34507
Backnang, Stadt;39.4;34491
Bernburg (Saale), Stadt;113.46;34481
Erding, St;54.61;34402
Saarlouis, Kreisstadt;43.27;34319
Fürstenfeldbruck, GKSt;32.52;34137
Zweibrücken, Stadt;70.64;34064
Kehl, Stadt;75.07;33991
