city;area;population
Dingolfing, St;44.01;18129
Burscheid, Stadt;27.33;18120
Dillingen a.d.Donau, GKSt;75.58;18111
Radeberg, Stadt;29.74;18080
Marktoberdorf, St;95.23;18039
Guben, Stadt;43.81;17971
Freudenberg, Stadt;54.6;17953
Bad Tölz, St;30.8;17946
Bexbach, Stadt;31.08;17908
Kronberg im Taunus, Stadt;18.62;17907
Altena, Stadt;44.42;17869
Frankenberg (Eder), Stadt;124.88;17866
Kolbermoor, St;19.84;17844
Schwarzenberg/Erzgeb., Stadt;46.33;17743
Marienberg, Stadt;133.47;17716
Weißenburg i.Bay., GKSt;97.57;17689
Bad Langensalza, Stadt;123.11;17683
Glinde, Stadt;11.22;17668
Buchen (Odenwald), Stadt;138.99;17614
Uetersen, Stadt;11.43;17598
Lahnstein, Stadt;37.56;17590
Burghausen, St;19.81;17584
Wolfratshausen, St;9.13;17580
Pohlheim, Stadt;38;17550
Konz, Stadt;44.54;17550
Weißwasser/O.L., Stadt;63.3;17541
Pfullingen, Stadt;30.13;17540
Alzey, Stadt;35.21;17509
Sachsenheim, Stadt;57.92;17490
Wittenberge, Stadt;50.44;17476
Zossen, Stadt;179.59;17465
Bad Münder am Deister, Stadt;107.69;17415
Bad Münstereifel, Stadt;150.83;17395
Wörth am Rhein, Stadt;131.64;17378
Zeulenroda-Triebes, Stadt;134.72;17347
Bad Aibling, St;41.41;17316
Mühldorf a.Inn, St;29.42;17296
Sinzig, Stadt;41.02;17205
Horn-Bad Meinberg, Stadt;90.15;17182
Parchim, Stadt;106.83;17174
Marktredwitz, GKSt;49.53;17147
Oberasbach, St;12.1;17141
Wassenberg, Stadt;42.43;17101
Bad Reichenhall, GKSt;41.92;17101
Bad Saulgau, Stadt;97.33;17080
Bad Krozingen, Stadt;35.66;17070
Renningen, Stadt;31.14;17011
Moosburg a.d.Isar, St;43.85;16971
Kronach, St;66.99;16967
Gescher, Stadt;80.84;16889
Aue, Stadt;20.94;16879
Schkeuditz, Stadt;81.16;16877
Hochheim am Main, Stadt;19.43;16793
Nidda, Stadt;118.35;16758
Brakel, Stadt;173.92;16722
Finsterwalde, Stadt;76.93;16677
Oerlinghausen, Stadt;32.69;16654
Illertissen, St;36.39;16647
Eltville am Rhein, Stadt;46.77;16647
Eutin, Stadt;41.4;16636
Bad Wildungen, Stadt;120.08;16628
Bad Segeberg, Stadt;18.87;16581
Bendorf, Stadt;24.07;16538
Wurzen, Stadt;68.79;16521
Nauen, Stadt;266.59;16491
Cham, St;80.67;16480
Bobingen, St;50.28;16471
Damme, Stadt;104.38;16397
Sulzbach/ Saar, Stadt;16.12;16393
Michelstadt, Stadt;86.98;16389
Halver, Stadt;77.24;16300
Lübbenau/Spreewald, Stadt;138.8;16276
Reinheim, Stadt;27.7;16254
Bad Säckingen, Stadt;25.34;16240
Garching b.München, St;28.17;16219
Heilbad Heiligenstadt, Stadt;61.57;16188
Gunzenhausen, St;82.73;16171
Schlüchtern, Stadt;113.31;16167
Kirchhain, Stadt;90.93;16145
Kierspe, Stadt;71.91;16139
Alsfeld, Stadt;129.69;16117
Penzberg, St;25.72;16092
Templin, Stadt;377.08;16063
Heidenau, Stadt;11.07;16051
Schrobenhausen, St;75.26;16029
Königstein im Taunus, Stadt;25.07;16008
Wadern, Stadt;110.97;15983
Diepholz, Stadt;104.48;15981
Freilassing, St;14.82;15970
Stockach, Stadt;69.75;15970
Vilshofen an der Donau, St;86.33;15926
Remagen, Stadt;33.16;15887
Hünfeld, Konrad-Zuse-Stadt;119.77;15789
Erwitte, Stadt;89.41;15679
Löbau, Stadt;78.74;15638
Bad Salzungen, Stadt;39.06;15631
Lauchhammer, Stadt;88.44;15624
Wendlingen am Neckar, Stadt;12.15;15606
Königslutter am Elm, Stadt;130.61;15603
Babenhausen, Stadt;66.87;15588
Straelen, Stadt;74.04;15578
Kelheim, St;76.76;15555
Bürstadt, Stadt;34.46;15551
Weener, Stadt;81.24;15550
Eilenburg, Stadt;46.8;15539
Preetz, Stadt;14.4;15528
Bargteheide, Stadt;15.83;15528
Sigmaringen, Stadt;92.84;15517
Blomberg, Stadt;99.1;15509
Rahden, Stadt;137.48;15509
Freiberg am Neckar, Stadt;13.14;15508
Bassum, Stadt;168.57;15442
Kamenz, Stadt;53.15;15432
Bad Arolsen, Stadt;126.37;15407
Marbach am Neckar, Stadt;18.06;15298
Neustadt b.Coburg, GKSt;61.9;15279
Boppard, Stadt;75.27;15240
Meerane, Stadt;19.76;15226
Landsberg, Stadt;125.38;15220
Hohenstein-Ernstthal, Stadt;18.33;15208
Hilchenbach, Stadt;81.12;15189
Selb, GKSt;62.37;15160
Lohr a.Main, St;90.43;15143
Hückeswagen, Schloss-Stadt;50.53;15139
Mittweida, Stadt;41.29;15135
Drensteinfurt, Stadt;106.6;15122
Bad Neustadt a.d.Saale, St;36.9;15120
Altdorf b.Nürnberg, St;48.63;15111
Trossingen, Stadt;24.2;15108
Bad Lippspringe, Stadt;51.01;15091
Bad Bentheim, Stadt;100;15063
Schwarzenbek, Stadt;11.56;15060
Ribnitz-Damgarten, Stadt;122.48;15058
Neustadt in Holstein, Stadt;19.74;15030
Brackenheim, Stadt;45.75;15009
Brake (Unterweser), Stadt;38.18;14983
Hofgeismar, Stadt;86.39;14967
Ebersbach an der Fils, Stadt;26.27;14961
Pocking, St;68.88;14956
Witzenhausen, Stadt;126.69;14840
Eppelheim, Stadt;5.7;14829
Karlstadt, St;98.18;14821
Oschatz, Stadt;55.31;14814
Schwalbach am Taunus, Stadt;6.47;14812
Markranstädt, Stadt;58.27;14810
Genthin, Stadt;230.73;14808
Hettstedt, Stadt;36.93;14800
Olsberg, Stadt;118;14786
Munster, Stadt;193.41;14768
Raunheim, Stadt;12.61;14766
Sandersdorf-Brehna, Stadt;81.78;14760
Ottweiler, Stadt;45.52;14729
Künzelsau, Stadt;75.17;14709
Wittstock/Dosse, Stadt;417.21;14708
Dieburg, Stadt;23.08;14690
Spenge, Stadt;40.35;14681
Frankenberg/Sa., Stadt;65.56;14676
Ober-Ramstadt, Stadt;41.88;14672
Neu-Anspach, Stadt;36.14;14642
Schriesheim, Stadt;31.62;14623
Walldorf, Stadt;19.91;14578
Wanzleben-Börde, Stadt;188.07;14561
Uslar, Stadt;113.41;14518
Füssen, St;43.5;14512
Bad Wörishofen, St;57.8;14455
Lauda-Königshofen, Stadt;94.47;14433
Schneeberg, Stadt;23.35;14432
Stadtbergen, St;11.49;14419
Kraichtal, Stadt;80.56;14416
Fritzlar, Dom- und Kaiserstadt;88.78;14390
Jessen (Elster), Stadt;352;14376
Gehrden, Stadt;43.1;14356
Eberbach, Stadt;81.17;14340
Südliches Anhalt, Stadt;191.54;14300
Taucha, Stadt;33.13;14291
Markgröningen, Stadt;28.18;14261
Mindelheim, St;56.43;14223
Breisach am Rhein, Stadt;54.61;14218
Langenau, Stadt;75;14216
Mainburg, St;61.59;14215
Bad Wurzach, Stadt;182.26;14167
Dorfen, St;99.56;14052
Bad Laasphe, Stadt;135.95;14039
Leuna, Stadt;87.71;13981
Sassenberg, Stadt;78.08;13943
Homberg (Efze), Kreisstadt;99.99;13934
Bad Camberg, Stadt;54.63;13912
Immenstadt i.Allgäu, St;81.43;13903
Münsingen, Stadt;116.99;13893
Uhingen, Stadt;24.79;13875
Pattensen, Stadt;67.06;13834
Jever, Stadt;42.12;13826
Lübben (Spreewald), Stadt;119.91;13815
Kelsterbach, Stadt;15.38;13810
Gernsbach, Stadt;82.09;13757
Kalkar, Stadt;88.2;13727
Oebisfelde-Weferlingen, Stadt;249.3;13714
Ratzeburg, Stadt;30.29;13691
Oberndorf am Neckar, Stadt;55.93;13691
Angermünde, Stadt;322.63;13687
Biedenkopf, Stadt;90.33;13662
Zeven, Stadt;73.93;13659
Grünberg, Stadt;89.24;13657
Bebra, Stadt;93.64;13651
Bergen auf Rügen, Stadt;51.42;13651
Stein, St;19.51;13643
Aßlar, Stadt;43.57;13632
Bad Bramstedt, Stadt;24.15;13596
Wilsdruff, Stadt;81.69;13550
Beverungen, Stadt;98.09;13548
Murrhardt, Stadt;71.13;13545
Plochingen, Stadt;10.65;13543
Langenselbold, Stadt;26.26;13491
Erbach, Kreisstadt;61.53;13485
Zehdenick, Stadt;221.58;13471
Usingen, Stadt;55.83;13464
Schwentinental, Stadt;17.82;13464
Bitburg, Stadt;47.53;13446
Rotenburg a. d. Fulda, Stadt;79.83;13439
Pegnitz, St;100;13427
Bad Soden-Salmünster, Stadt;58.6;13365
Schwabmünchen, St;55.52;13321
Solms, Stadt;34.05;13316
Melsungen, Stadt;63.1;13293
Ebersbach-Neugersdorf, Stadt;20.42;13272
Eppstein, Stadt;24.21;13266
Möckern, Stadt;523.87;13247
Bad Salzdetfurth, Stadt;67.11;13229
Weißenhorn, St;53.71;13228
Herzberg am Harz, Stadt;71.88;13227
Erlensee, Stadt;18.59;13188
Isny im Allgäu, Stadt;85.37;13186
Höchstadt a.d.Aisch, St;70.87;13162
Hilpoltstein, St;89.71;13148
Eichstätt, GKSt;47.78;13146
Lauterbach (Hessen), Kreisstadt;102;13127
Lich, Stadt;77.63;13091
Haßfurt, St;52.68;13090
Neckargemünd, Stadt;26.15;13078
Neutraubling, St;9.75;13060
Rödental, St;49.98;13059
Erbach, Stadt;63.29;13055
Markdorf, Stadt;40.91;13013
Lorsch, Karolingerstadt;25.24;12991
Velen, Stadt;70.75;12987
Pfullendorf, Stadt;90.56;12978
Neustadt i. Sa., Stadt;83.05;12976
Eggenfelden, St;44.34;12971
Löningen, Stadt;143.23;12949
Neustadt a.d.Donau, St;93.56;12942
Grafing b.München, St;29.58;12935
Anklam, Stadt;56.58;12930
Abensberg, St;60.29;12922
Winterberg, Stadt;147.95;12918
Vöhringen, St;23.69;12916
Schleiden, Stadt;121.67;12892
Herbrechtingen, Stadt;58.63;12876
St. Georgen im Schwarzwald, Stadt;59.85;12857
Sendenhorst, Stadt;96.95;12853
Grünstadt, Stadt;18.09;12853
Asperg, Stadt;5.8;12849
Steinheim, Stadt;75.69;12848
Wiesmoor, Stadt;82.96;12790
Clausthal-Zellerfeld, Bergstadt;33.96;12772
Brunsbüttel, Stadt;65.24;12758
Quakenbrück, Stadt;17.95;12746
Bergen, Stadt;163.83;12708
Wolfhagen, Stadt;111.95;12677
Borken (Hessen), Stadt;82.3;12674
Wehr, Stadt;35.68;12671
Tauberbischofsheim, Stadt;69.32;12666
Weilburg, Stadt;57.5;12663
Landau a.d.Isar, St;84.41;12630
Östringen, Stadt;53.23;12610
Linnich, Stadt;65.43;12594
Preußisch Oldendorf, Stadt;68.75;12593
Dinklage, Stadt;72.65;12563
Tornesch, Stadt;20.61;12560
Sulingen, Stadt;110.65;12549
Gräfenhainichen, Stadt;158.93;12528
Altötting, St;23.08;12521
Treuchtlingen, St;103.42;12496
Bad Freienwalde (Oder), Stadt;131.11;12491
Wolgast, Stadt;61.53;12486
Hungen, Stadt;86.74;12473
Philippsburg, Stadt;50.56;12463
Bad Dürrheim, Stadt;62.09;12449
Coswig (Anhalt), Stadt;295.74;12446
Montabaur, Stadt;33.76;12444
Plattling, St;35.87;12401
Haselünne, Stadt;159.31;12390
Burglengenfeld, St;93.26;12383
Fehmarn, Stadt;185.48;12369
Krumbach (Schwaben), St;44.63;12351
Neustadt a.d.Aisch, St;61.23;12351
Schüttorf, Stadt;19.44;12342
Spaichingen, Stadt;18.5;12312
Ettenheim, Stadt;48.9;12288
Pößneck, Stadt;24.44;12272
Wächtersbach, Stadt;50.79;12269
Holzgerlingen, Stadt;13.38;12268
Wasserburg a.Inn, St;18.8;12257
Lichtenstein/Sa., Stadt;15.48;12178
Linden, Stadt;22.77;12172
Twistringen, Stadt;114.23;12166
Pritzwalk, Stadt;165.62;12164
Burladingen, Stadt;123.33;12151
Hersbruck, St;22.91;12150
Jüterbog, Stadt;175.64;12142
Olfen, Stadt;52.43;12134
Hadamar, Stadt;40.99;12131
Bad Wünnenberg, Stadt;161.3;12112
Gladenbach, Stadt;72.28;12106
Buchloe, St;36.17;12076
Rosbach v. d. Höhe, Stadt;45.33;12066
Feuchtwangen, St;137.24;12063
Perleberg, Stadt;137.83;12059
Neuenrade, Stadt;54.1;12011
Ludwigslust, Stadt;78.3;11998
Gaildorf, Stadt;62.57;11974
Monschau, Stadt;94.62;11967
Bad Windsheim, St;78.25;11955
Pfarrkirchen, St;52.35;11952
Steinheim an der Murr, Stadt;23.18;11937
Hessisch Lichtenau, Stadt;105.87;11910
Wernau (Neckar), Stadt;10.9;11877
Langelsheim, Stadt;48.76;11876
Hemsbach, Stadt;12.86;11865
Bad Dürrenberg, Stadt;36.15;11844
Bad Urach, Stadt;55.45;11828
Bopfingen, Stadt;76.98;11810
Röthenbach a.d.Pegnitz, St;14.29;11788
Drolshagen, Stadt;67.11;11787
Besigheim, Stadt;16.83;11787
Sulz am Neckar, Stadt;87.6;11767
Schongau, St;21.34;11719
Hildburghausen, Stadt;72.92;11695
Titisee-Neustadt, Stadt;89.66;11693
Bischofswerda, Stadt;46.26;11685
Beelitz, Stadt;180.11;11684
Neuenburg am Rhein, Stadt;44.12;11668
Blaubeuren, Stadt;79.15;11642
Hauzenberg, St;82.82;11630
Geisenheim, Stadt;40.35;11612
Velten, Stadt;23.34;11569
Balve, Stadt;74.81;11566
Demmin, Hansestadt;81.61;11542
Osterwieck, Stadt;212.88;11538
Braunsbedra, Stadt;74.3;11513
Wolmirstedt, Stadt;54.29;11509
Wittingen, Stadt;225.09;11489
Oestrich-Winkel, Stadt;59.53;11481
Stollberg/Erzgeb., Stadt;38.83;11465
Billerbeck, Stadt;91.36;11460
Schmölln, Stadt;41.6;11457
Erkner, Stadt;16.59;11438
Bad Doberan, Stadt;32.76;11427
Roding, St;113.69;11412
Ebersberg, St;40.84;11380
Tangerhütte, Stadt;294.75;11379
Schöningen, Stadt;35.36;11377
Querfurt, Stadt;155.26;11357
Weinsberg, Stadt;22.22;11349
Oelsnitz/Erzgeb., Stadt;26.27;11339
Osterhofen, St;111.19;11334
Oberharz am Brocken, Stadt;271.51;11333
Hagenow, Stadt;67.47;11324
Flöha, Stadt;27.72;11301
Dinkelsbühl, GKSt;75.17;11287
Werther (Westf.), Stadt;35.42;11264
Ladenburg, Stadt;19;11238
Walldürn, Stadt;105.88;11230
Vilsbiburg, St;68.86;11184
Hammelburg, St;128.88;11151
Lauenburg/ Elbe, Stadt;9.54;11150
Bad Belzig, Stadt;234.84;11119
Glückstadt, Stadt;22.76;11099
Rheinau, Stadt;73.51;11082
Trostberg, St;51.55;11059
Welzheim, Stadt;37.99;11045
Burgstädt, Stadt;25.84;11043
Miesbach, St;32.43;11027
Ochsenfurt, St;63.57;10997
Zwönitz, Stadt;52.86;10983
Oelsnitz/Vogtl., Stadt;53.63;10950
Rothenburg ob der Tauber, GKSt;41.68;10898
Lindenberg i.Allgäu, St;11.85;10891
Schwaigern, Stadt;49.48;10856
Zella-Mehlis, Stadt;28.09;10855
Mülheim-Kärlich, Stadt;16.34;10848
Laichingen, Stadt;69.84;10830
Isselburg, Stadt;42.8;10819
Bad Lauterberg im Harz, Stadt;41.55;10813
Marktheidenfeld, St;35.7;10763
Gommern, Stadt;159.98;10761
Diez, Stadt;12.41;10759
Donzdorf, Stadt;39.82;10750
Braunfels, Stadt;47.29;10741
Lauffen am Neckar, Stadt;22.63;10726
Eisenberg, Stadt;24.85;10694
Meuselwitz, Stadt;53.47;10690
Regen, St;65.12;10684
Bad Fallingbostel, Stadt;63.49;10682
Felsberg, Stadt;83.28;10674
Maxhütte-Haidhof, St;34.7;10622
Grevesmühlen, Stadt;52.34;10621
Gengenbach, Stadt;61.91;10606
Pasewalk, Stadt;54.99;10594
Haigerloch, Stadt;76.45;10572
Lauingen (Donau), St;44.38;10565
Vienenburg, Stadt;71.14;10556
Lorch, Stadt;34.28;10541
Frohburg, Stadt;108.06;10531
Lichtenau, Stadt;192.57;10528
Bad Iburg, Stadt;36.5;10528
Tangermünde, Stadt;89.87;10495
Steinau an der Straße, Brüder-Grimm-Stadt;104.87;10485
Rüthen, Stadt;158.15;10448
Bad Schwalbach, Kreisstadt;40.27;10428
Wilkau-Haßlau, Stadt;12.71;10397
Münchberg, St;68.79;10368
Osterburg (Altmark), Hansestadt;229.74;10364
Klötze, Stadt;278.29;10359
Langenzenn, St;46.33;10339
Bad Nenndorf, Stadt;23.21;10334
Gemünden a.Main, St;75.1;10333
Kemberg, Stadt;235.14;10333
Wettin-Löbejün, Stadt;127.03;10315
Waltershausen, Stadt;30.79;10287
Waldkirchen, St;80.04;10273
Friedrichsthal, Stadt;9.07;10259
Bad Staffelstein, St;99.4;10254
Schotten, Stadt;133.56;10220
Steinbach (Taunus), Stadt;4.4;10186
Altensteig, Stadt;53.22;10181
Boizenburg/ Elbe, Stadt;47.25;10169
Herbolzheim, Stadt;35.47;10152
Rehburg-Loccum, Stadt;99.94;10151
Geisenfeld, St;88.3;10138
Rutesheim, Stadt;16.22;10104
Sebnitz, Stadt;88.09;10093
Hohenmölsen, Stadt;75.31;10089
Meßstetten, Stadt;76.82;10078
Brand-Erbisdorf, Stadt;46.24;10076
Riedlingen, Stadt;64.96;10045
Dassel, Stadt;113.03;10025
Visselhövede, Stadt;158.87;10023
Engen, Stadt;70.54;10014
Betzdorf, Stadt;9.57;10008
Dippoldiswalde, Stadt;63.37;10004
Erlenbach a.Main, St;16.33;9998
Lügde, Stadt der Osterräder;88.64;9990
Grimmen, Stadt;50.29;9965
Bad Gandersheim, Stadt;90.48;9963
Büdelsdorf, Stadt;6.48;9961
Blumberg, Stadt;98.69;9961
Barmstedt, Stadt;17.17;9943
Bockenem, Stadt;109.5;9926
Gernsheim, Schöfferstadt;40.11;9911
Nideggen, Stadt;65.06;9864
Mengen, Stadt;49.8;9850
Lollar, Stadt;21.87;9822
Zschopau, Stadt;22.88;9814
Rüdesheim am Rhein, Stadt;51.44;9788
Neuenhaus, Stadt;31.33;9773
Bogen, St;49.75;9767
Luckau, Stadt;206.59;9738
Niesky, Stadt;53.59;9732
Wildberg, Stadt;56.68;9725
Süßen, Stadt;12.79;9700
Oldenburg in Holstein, Stadt;39.68;9698
Niebüll, Stadt;30.63;9683
Laubach, Stadt;97.02;9645
Heubach, Stadt;25.81;9645
Aulendorf, Stadt;52.36;9641
Bad Liebenwerda, Stadt;138.43;9626
Aichtal, Stadt;23.64;9614
Weilheim an der Teck, Stadt;26.51;9609
Neuenstadt am Kocher, Stadt;41.19;9584
Raguhn-Jeßnitz, Stadt;97.12;9581
Runkel, Stadt;43.72;9577
Zörbig, Stadt;113.68;9572
Simbach a.Inn, St;47.31;9571
Zahna-Elster, Stadt;148.49;9557
Schlitz, Stadt;142.09;9553
Bad Wildbad, Stadt;105.27;9542
Bleckede, Stadt;140.49;9515
Sassnitz, Stadt;47.08;9498
Kenzingen, Stadt;36.93;9467
Ilsenburg (Harz), Stadt;62.97;9442
Olbernhau, Stadt;70.43;9439
Lüchow (Wendland), Stadt;89.09;9417
Mansfeld, Stadt;143.79;9411
Bad König, Stadt;46.73;9398
Penig, Stadt;63.32;9375
Rehau, St;80.33;9374
Dissen am Teutoburger Wald, Stadt;31.9;9374
Wunsiedel, St;54.88;9371
Burgau, St;25.93;9361
Obernkirchen, Stadt;32.48;9359
Brandis, Stadt;34.81;9357
Calbe (Saale), Stadt;56.66;9348
Herzberg (Elster), Stadt;148.49;9345
Wahlstedt, Stadt;15.75;9295
Gudensberg, Stadt;46.5;9264
Zwiesel, St;41.17;9264
Niddatal, Stadt;40.26;9258
Höhr-Grenzhausen, Stadt;15.89;9250
Furtwangen im Schwarzwald, Stadt;82.57;9240
Bad Orb, Stadt;47.78;9240
Kyritz, Stadt;156.12;9236
Trebbin, Stadt;125.58;9212
Nieder-Olm, Stadt;11.23;9210
Miltenberg, St;60.18;9182
Mücheln (Geiseltal), Stadt;98.59;9172
Töging a.Inn, St;13.65;9171
Eisenberg (Pfalz), Stadt;18.73;9162
Lößnitz, Stadt;30.53;9142
Fürstenau, Stadt;78.62;9137
Heilsbronn, St;62.25;9089
Heiligenhafen, Stadt;18.32;9084
Endingen am Kaiserstuhl, Stadt;26.71;9070
Tirschenreuth, St;103.93;9065
Bad Lauchstädt, Goethestadt;85.36;9050
Elsfleth, Stadt;115.15;9033
Bad Ems, Stadt;15.36;9023
Großräschen, Stadt;81.31;9010
Borgentreich, Orgelstadt;138.94;9002
Furth im Wald, St;67.04;9001
Lauta, Stadt;41.88;8992
Colditz, Stadt;83.75;8980
Breckerfeld, Hansestadt;58.78;8942
Wetter (Hessen), Stadt;104.56;8941
Ueckermünde, Stadt;84.64;8940
Barby, Stadt;152.72;8938
Barntrup, Stadt;59.46;8918
Storkow (Mark), Stadt;179.97;8889
Ortenberg, Stadt;54.7;8885
Wertingen, St;51.87;8878
Bad Breisig, Stadt;19.94;8877
Doberlug-Kirchhain, Stadt;148.94;8875
Lützen, Stadt;96.49;8871
Schieder-Schwalenberg, Stadt;60.04;8868
Auerbach i.d.OPf., St;78.26;8861
Könnern, Stadt;125.21;8861
Elze, Stadt;47.71;8852
Tecklenburg, Stadt;70.49;8839
Altlandsberg, Stadt;106.24;8809
Kappeln, Stadt;43.32;8793
Bad Bevensen, Stadt;48.05;8788
Beilngries, St;100.07;8781
Zwenkau, Stadt;46.22;8755
Bismark (Altmark), Stadt;289.44;8753
Teterow, Stadt;47.1;8733
Osthofen, Stadt;18.63;8727
Hemmoor, Stadt;45.08;8723
Hainichen, Stadt;51.58;8714
Bad Liebenzell, Stadt;33.8;8714
Bad Schmiedeberg, Stadt;160.01;8713
Torgelow, Stadt;49.27;8713
Reinfeld (Holstein), Stadt;17.36;8704
Florstadt, Stadt;39.6;8691
Leisnig, Stadt;78.05;8685
Bad Frankenhausen/Kyffhäuser, Stadt;65.86;8677
Ochsenhausen, Stadt;59.96;8667
Mittenwalde, Stadt;98.48;8663
Kandel, Stadt;26.64;8659
Laufenburg (Baden), Stadt;23.58;8658
Volkach, St;60.19;8656
Helmbrechts, St;58.72;8643
Plön, Stadt;36.73;8642
Rain, St;77.12;8639
Borgholzhausen, Stadt;55.99;8633
Barth, Stadt;41.2;8629
Freystadt, St;80.56;8628
Kirchen (Sieg), Stadt;39.59;8599
Oranienbaum-Wörlitz, Stadt;115.16;8592
Mendig, Stadt;23.78;8585
Seeland, Stadt;78.85;8577
Teuchern, Stadt;81.36;8573
Nittenau, St;93.16;8568
Vetschau/Spreewald, Stadt;110.94;8541
Hemau, St;122.3;8529
Kirchberg, Stadt;39.58;8516
Neustadt (Hessen), Stadt;56.88;8492
Berching, St;131.18;8479
Premnitz, Stadt;45.39;8474
Obernburg a.Main, St;24.83;8466
Schleiz, Stadt;83.03;8466
Waldenbuch, Stadt;22.7;8461
Naunhof, Stadt;39.49;8452
Falkenstein/Vogtl., Stadt;31.05;8435
Landstuhl, Sickingenstadt, Stadt;15.34;8435
Neuötting, St;36.6;8424
Harzgerode, Stadt;164.6;8419
Vallendar, Stadt;13.22;8413
Ichenhausen, St;34.27;8411
Hallstadt, St;14.61;8407
Bad Griesbach i.Rottal, St;70.16;8399
Elsterwerda, Stadt;40.55;8384
Oederan, Stadt;77.38;8366
Willebadessen, Stadt;128.41;8343
Altenberg, Stadt;145.8;8317
Neustadt an der Orla, Stadt;36.51;8303
Bad Schussenried, Stadt;55.01;8300
Weißenthurm, Stadt;3.99;8298
Grafenau, St;63.79;8237
Bad Lausick, Stadt;69.79;8233
Bad Sooden-Allendorf, Stadt;73.52;8213
Rauenberg, Stadt;11.12;8202
Treuen, Stadt;43.72;8200
Allstedt, Stadt;149.81;8193
Wissen, Stadt;34.88;8181
Waldheim, Stadt;23.84;8181
Rheinsberg, Stadt;324.83;8179
Kirn, Stadt;16.53;8177
Calau, Stadt;162.57;8152
Großbottwar, Stadt;25.51;8135
Staufenberg, Stadt;28.13;8126
Arnstein, St;112.11;8107
Meßkirch, Stadt;76.24;8105
Dannenberg (Elbe), Stadt;76.37;8088
Kandern, Stadt;62.27;8065
Aken (Elbe), Stadt;59.91;8044
Bad Düben, Stadt;45.46;8037
Viechtach, St;62.49;8035
Werneuchen, Stadt;116.32;8026
Daun, Stadt;48.98;8013
Beeskow, Stadt;77.17;7996
Knittlingen, Stadt;26.33;7982
Neunburg vorm Wald, St;110.17;7979
Bad Liebenstein, Stadt;48.81;7971
Kuppenheim, Stadt;18.08;7956
Kalbe (Milde), Stadt;272.7;7940
Bersenbrück, Stadt;42.54;7894
Medebach, Hansestadt;126.05;7876
Zell am Harmersbach, Stadt;36.43;7870
Hermsdorf, Stadt;7.51;7867
Hardegsen, Stadt;83.89;7867
Neresheim, Stadt;118.52;7857
Dornstetten, Stadt;24.21;7842
Eibenstock, Stadt;112.35;7838
Klingenthal, Stadt;28.66;7838
Naila, St;37.05;7821
Möckmühl, Stadt;49.6;7819
Vohenstrauß, St;74.06;7810
Kellinghusen, Stadt;18.81;7794
Gerbstedt, Stadt;102.31;7785
Oberkochen, Stadt;23.57;7769
Kirchheimbolanden, Stadt;26.35;7752
Münnerstadt, St;93.11;7739
Ballenstedt, Stadt;65.22;7693
Sontra, Stadt;111.29;7686
Gundelfingen a.d.Donau, St;54.05;7670
Malchin, Stadt;94.48;7657
Bad Berka, Stadt;55.26;7651
Bützow, Stadt;39.71;7635
Rottenburg a.d.Laaber, St;90.12;7633
Groitzsch, Stadt;70.07;7632
Wörrstadt, Stadt;16.75;7611
Pulsnitz, Stadt;26.71;7610
Herrieden, St;81.71;7590
Simmern/ Hunsrück, Stadt;11.96;7581
Homberg (Ohm), Stadt;88.02;7579
Gedern, Stadt;75.24;7561
Bad Bergzabern, Stadt;10.71;7547
Bad Sachsa, Stadt;33.13;7545
Hüfingen, Stadt;58.53;7544
Gerolstein, Stadt;64.38;7529
Vohburg a.d.Donau, St;45.18;7518
Löffingen, Stadt;88.03;7505
Staufen im Breisgau, Stadt;23.26;7490
Lengenfeld, Stadt;47.16;7490
Hartha, Stadt;54.37;7490
Treuenbrietzen, Stadt;211.35;7487
Ramstein-Miesenbach, Stadt;43.02;7480
Wriezen, Stadt;94.72;7425
Heringen (Werra), Stadt;61.18;7419
Breuberg, Stadt;30.76;7407
Baiersdorf, St;11.8;7404
Ransbach-Baumbach, Stadt;12.14;7394
Friedrichroda, Stadt;36.9;7392
Neuenbürg, Stadt;28.17;7389
Radeburg, Stadt;54;7387
Kühlungsborn, Stadt;16.15;7378
Teublitz, St;38.25;7351
Renchen, Stadt;32.08;7343
Hecklingen, Stadt;95.34;7340
Weida, Stadt;12.61;7330
Weikersheim, Stadt;80.92;7292
Schwarzenbach a.d.Saale, St;59.16;7248
Jerichow, Stadt;269.92;7225
Annaburg, Stadt;224.28;7224
Meldorf, Stadt;21.25;7223
Ebern, St;95.02;7214
Bönnigheim, Stadt;20.14;7214
Esens, Stadt;21.68;7214
Arnstein, Stadt;121.69;7180
Arendsee (Altmark), Stadt;269.68;7176
Neukirchen, Stadt;66.26;7175
Bad Herrenalb, Stadt;33.03;7150
Schweich, Stadt;31.09;7146
Moringen, Stadt;82.25;7142
Otterndorf, Stadt;33.54;7136
Bad Kötzting, St;62.19;7133
Oppenheim, Stadt;7.09;7132
Gundelsheim, Stadt;38.44;7129
Scheßlitz, St;94.89;7123
Kremmen, Stadt;209.14;7115
Römhild, Stadt;122.46;7103
Rodalben, Stadt;15.69;7073
Elzach, Stadt;75.28;7069
Kahla, Stadt;7.96;7066
Neuhaus am Rennweg, Stadt;80.91;7051
Immenhausen, Stadt;28.54;6991
Nossen, Stadt;50.52;6968
Freyung, St;48.64;6952
Ebermannstadt, St;49.96;6950
Greding, St;103.74;6943
Waldeck, Stadt;115.73;6926
Annweiler am Trifels, Stadt;39.88;6926
