"log10.xvals" "log10.ccdf"
"1" -1 -0.000124678384866747
"2" -0.698970004336019 -0.011064548775163
"3" -0.522878745280338 -0.0291601490206848
"4" -0.397940008672038 -0.0359959183815194
"5" -0.301029995663981 -0.0607640287845245
"6" -0.221848749616356 -0.06685198245537
"7" -0.154901959985743 -0.0713991371167069
"8" -0.0969100130080564 -0.0806715664945583
"9" -0.0457574905606751 -0.0833215145720316
"10" 0 -0.12708820750376
"11" 0.0413926851582251 -0.127991154364541
"12" 0.0791812460476249 -0.132229908027835
"13" 0.113943352306837 -0.134040741345787
"14" 0.146128035678238 -0.135828167575715
"15" 0.176091259055681 -0.161923209484162
"16" 0.204119982655925 -0.163892218994673
"17" 0.230448921378274 -0.165279504473762
"18" 0.255272505103306 -0.166980745897692
"19" 0.278753600952829 -0.197095476741113
"20" 0.301029995663981 -0.218555872951653
"21" 0.322219294733919 -0.219640704130915
"22" 0.342422680822206 -0.220445754550944
"23" 0.361727836017593 -0.222324987053179
"24" 0.380211241711606 -0.232046149226149
"25" 0.397940008672038 -0.239409760997696
"26" 0.414973347970818 -0.240224753624026
"27" 0.431363764158987 -0.240772878772121
"28" 0.447158031342219 -0.244963783361236
"29" 0.462397997898956 -0.277074613979967
"30" 0.477121254719662 -0.29403314497105
"31" 0.491361693834273 -0.294716163020452
"32" 0.505149978319906 -0.296475521084254
"33" 0.518513939877888 -0.29691984429303
"34" 0.531478917042255 -0.303357171320417
"35" 0.544068044350276 -0.306880673926945
"36" 0.556302500767287 -0.307644046465674
"37" 0.568201724066995 -0.312206160767845
"38" 0.57978359661681 -0.341911646941925
"39" 0.591064607026499 -0.342026214829633
"40" 0.602059991327962 -0.352570271956635
"41" 0.612783856719736 -0.353745851189399
"42" 0.6232492903979 -0.354053048091227
"43" 0.633468455579587 -0.358526820957597
"44" 0.643452676486187 -0.358925462901826
"45" 0.653212513775344 -0.360606886173365
"46" 0.662757831681574 -0.366543668019956
"47" 0.672097857935718 -0.366960292894141
"48" 0.681241237375587 -0.404937401192574
"49" 0.690196080028514 -0.405081385625574
"50" 0.698970004336019 -0.416485502684461
"51" 0.707570176097936 -0.416875975496816
"52" 0.716003343634799 -0.417391226645485
"53" 0.724275869600789 -0.419422642253789
"54" 0.732393759822969 -0.420340485135533
"55" 0.740362689494244 -0.424952993624335
"56" 0.7481880270062 -0.425471885660718
"57" 0.755874855672491 -0.453977409921005
"58" 0.763427993562937 -0.454028987306761
"59" 0.770852011642144 -0.461514261488456
"60" 0.778151250383644 -0.46232184834874
"61" 0.785329835010767 -0.462670296424669
"62" 0.792391689498254 -0.465130521271909
"63" 0.799340549453582 -0.465242982238612
"64" 0.806179973983887 -0.470990635699512
"65" 0.812913356642856 -0.471258892591764
"66" 0.819543935541869 -0.471480329335556
"67" 0.826074802700826 -0.497487215560776
"68" 0.832508912706236 -0.49832177337863
"69" 0.838849090737255 -0.502843322741262
"70" 0.845098040014257 -0.503117562344784
"71" 0.851258348719075 -0.503449768463276
"72" 0.857332496431269 -0.506552972675578
"73" 0.863322860120456 -0.511735493482184
"74" 0.869231719730976 -0.512538889672553
"75" 0.8750612633917 -0.513040844801509
"76" 0.880813592280791 -0.544438784186844
"77" 0.886490725172482 -0.544828004591926
"78" 0.89209460269048 -0.54536076912163
"79" 0.897627091290441 -0.549662649699398
"80" 0.903089986991944 -0.550450872362366
"81" 0.90848501887865 -0.55282416038146
"82" 0.913813852383717 -0.555023329925739
"83" 0.919078092376074 -0.555487306756181
"84" 0.924279286061882 -0.556196438975063
"85" 0.929418925714293 -0.556408588467858
"86" 0.934498451243568 -0.569465578747467
"87" 0.939519252618619 -0.569717972827857
"88" 0.944482672150169 -0.569953673048662
"89" 0.949390006644913 -0.571590261871603
"90" 0.954242509439325 -0.571835437322205
"91" 0.959041392321094 -0.580798384400443
"92" 0.963787827345555 -0.581048815195392
"93" 0.968482948553935 -0.58127346219486
"94" 0.973127853599699 -0.581498225457361
"95" 0.977723605288848 -0.626799587336425
"96" 0.982271233039568 -0.626818783096861
"97" 0.986771734266245 -0.627097217009925
"98" 0.991226075692495 -0.627327780148609
"99" 0.99563519459755 -0.632596707653082
"100" 1 -0.635818419157274
"101" 1.00432137378264 -0.63605366037377
"102" 1.00860017176192 -0.636387137035624
"103" 1.01283722470517 -0.636868186638089
"104" 1.01703333929878 -0.637064686644564
"105" 1.02118929906994 -0.651705605916567
"106" 1.02530586526477 -0.651776760906797
"107" 1.02938377768521 -0.651990295852624
"108" 1.03342375548695 -0.65251950136074
"109" 1.03742649794062 -0.6578267117508
"110" 1.04139268515822 -0.658414690546085
"111" 1.04532297878666 -0.658838115435652
"112" 1.04921802267018 -0.658962122807714
"113" 1.05307844348342 -0.659303325770324
"114" 1.05690485133647 -0.689619851042148
"115" 1.06069784035361 -0.689752968125766
"116" 1.06445798922692 -0.689886126024066
"117" 1.06818586174616 -0.690263628601451
"118" 1.07188200730613 -0.694449174695448
"119" 1.07554696139253 -0.69701384691269
"120" 1.07918124604762 -0.697171821419386
"121" 1.08278537031645 -0.697567009270607
"122" 1.08635983067475 -0.697838203210982
"123" 1.0899051114394 -0.698154810324913
"124" 1.09342168516224 -0.712751708552379
"125" 1.09691001300806 -0.712903811366944
"126" 1.10037054511756 -0.713032555369637
"127" 1.10380372095596 -0.716098549352836
"128" 1.10720996964787 -0.716747410499129
"129" 1.11058971029925 -0.717491844609056
"130" 1.11394335230684 -0.717527325701264
"131" 1.11727129565576 -0.717965164346281
"132" 1.12057393120585 -0.718119104396829
