"x.values" "ccdf"
"1" 0.1 0.999712958613851
"2" 0.2 0.974844736704765
"3" 0.3 0.935060800584521
"4" 0.4 0.92045822243098
"5" 0.5 0.869432701842284
"6" 0.6 0.857329993215385
"7" 0.7 0.848400396639006
"8" 0.8 0.830478576274725
"9" 0.9 0.825426647878503
"10" 1 0.746297166118679
"11" 1.1 0.744747142633474
"12" 1.2 0.737513699702521
"13" 1.3 0.734444966337874
"14" 1.4 0.731428422316163
"15" 1.5 0.688774072334429
"16" 1.6 0.68565836856114
"17" 1.7 0.683471635092114
"18" 1.8 0.680799540733782
"19" 1.9 0.635191273941861
"20" 2 0.604566567506915
"21" 2.1 0.60305829549606
"22" 2.2 0.601941443557226
"23" 2.3 0.599342414279004
"24" 2.4 0.586075883304629
"25" 2.5 0.57622253535828
"26" 2.6 0.575142215959501
"27" 2.7 0.574416784092688
"28" 2.8 0.568900370544335
"29" 2.9 0.528354470017222
"30" 3 0.508120661760868
"31" 3.1 0.507322164813945
"32" 3.2 0.505271123636553
"33" 3.3 0.504754449141485
"34" 3.4 0.497327905641668
"35" 3.5 0.493309326235583
"36" 3.6 0.492442983142842
"37" 3.7 0.487297113929336
"38" 3.8 0.455080632534836
"39" 3.9 0.454960597046083
"40" 4 0.444047805438129
"41" 4.1 0.442847450550598
"42" 4.2 0.442534314492981
"43" 4.3 0.437999060591827
"44" 4.4 0.437597202651219
"45" 4.5 0.435906267940087
"46" 4.6 0.429987996451125
"47" 4.7 0.429575700641929
"48" 4.8 0.393606805490319
"49" 4.9 0.393476332132979
"50" 5 0.38327853452325
"51" 5.1 0.382934084859872
"52" 5.2 0.382480037576327
"53" 5.3 0.38069516204791
"54" 5.4 0.379891446166693
"55" 5.5 0.375878085694901
"56" 5.6 0.37542925734565
"57" 5.7 0.351578727623819
"58" 5.8 0.35153697614947
"59" 5.9 0.345529982777517
"60" 6 0.344888053859402
"61" 6.1 0.34461145034184
"62" 6.2 0.342664787850321
"63" 6.3 0.342576065967329
"64" 6.4 0.338072125671938
"65" 6.5 0.337863368300193
"66" 6.6 0.337691143468504
"67" 6.7 0.318062731590209
"68" 6.8 0.317452116277856
"69" 6.9 0.314164187672877
"70" 7 0.31396586816972
"71" 7.1 0.313725797192213
"72" 7.2 0.311492093314545
"73" 7.3 0.307797087834664
"74" 7.4 0.30722822399666
"75" 7.5 0.306873336464694
"76" 7.6 0.28547048692657
"77" 7.7 0.285214759146182
"78" 7.8 0.28486509054851
"79" 7.9 0.282057303898544
"80" 8 0.281545848337769
"81" 8.1 0.280011481655446
"82" 8.2 0.278597150461876
"83" 8.3 0.278299671207139
"84" 8.4 0.277845623923595
"85" 8.5 0.277709931631961
"86" 8.6 0.26948489118522
"87" 8.7 0.269328323156411
"88" 8.8 0.26918219299619
"89" 8.9 0.268169719743228
"90" 9 0.268018370648713
"91" 9.1 0.262543708574709
"92" 9.2 0.262392359480194
"93" 9.3 0.26225666718856
"94" 9.4 0.262120974896926
"95" 9.5 0.23615677678618
"96" 9.6 0.236146338917593
"97" 9.7 0.235994989823078
"98" 9.8 0.235869735400031
"99" 9.9 0.23302541621001
"100" 10 0.231303167893116
"101" 10.1 0.231177913470069
"102" 10.2 0.231000469704086
"103" 10.3 0.230744741923699
"104" 10.4 0.230640363237827
"105" 10.5 0.222994624497678
"106" 10.6 0.222958091957622
"107" 10.7 0.222848494337456
"108" 10.8 0.222577109754188
"109" 10.9 0.219873701790094
"110" 11 0.219576222535358
"111" 11.1 0.21936224622932
"112" 11.2 0.219299619017797
"113" 11.3 0.219127394186107
"114" 11.4 0.204352591200877
"115" 11.5 0.204289963989353
"116" 11.6 0.20422733677783
"117" 11.7 0.204049893011847
"118" 11.8 0.202092792651741
"119" 11.9 0.200902875632796
"120" 12 0.200829810552685
"121" 12.1 0.200647147852409
"122" 12.2 0.200521893429362
"123" 12.3 0.20037576326914
"124" 12.4 0.19375293565054
"125" 12.5 0.193685089504723
"126" 12.6 0.193627681227493
"127" 12.7 0.192265539376859
"128" 12.8 0.19197849799071
"129" 12.9 0.191649705130212
"130" 13 0.191634048327332
"131" 13.1 0.191440947758468
"132" 13.2 0.191373101612651
"133" 13.3 0.191362663744063
"134" 13.4 0.186201137727676
"135" 13.5 0.186154167319033
"136" 13.6 0.182078179635718
"137" 13.7 0.181999895621314
"138" 13.8 0.181472783257659
"139" 13.9 0.181472783257659
"140" 14 0.181363185637493
"141" 14.1 0.181295339491676
"142" 14.2 0.181269244820208
"143" 14.3 0.161901779656594
"144" 14.4 0.161901779656594
"145" 14.5 0.161061531235322
"146" 14.6 0.160904963206513
"147" 14.7 0.159855957413496
"148" 14.8 0.1596889515161
"149" 14.9 0.15950106988153
"150" 15 0.159407129064245
"151" 15.1 0.159365377589896
"152" 15.2 0.15391681018736
"153" 15.3 0.15391681018736
"154" 15.4 0.153139188977611
"155" 15.5 0.153081780700381
