"","cat.val","num.trips","alpha","x.min","av","v1"
"1","short",209045,1.44153614484566,1.80999994277954,48.972307198471,14726.9987056581
"2","long",8055,2.16520915194593,816,1670.36085661989,2172741.48613225
"3","very long",380,5.90584263687589,11000,11312.9184210526,7047781.70045133
