"","cat.val","num.trips","alpha","x.min","av","v1"
"1","vor 5 Uhr",1670,2.010818126734,25.2700004577637,32.9175689179829,10123.9929293218
"2","5 bis vor 7",7026,2.41164531841422,20.5799999237061,23.7056703601905,3268.38910875471
"3","7 bis vor 9",21991,2.33223124216106,16.1499996185303,11.2856468477975,1717.63542042922
"4","9 bis vor 11",24511,2.03201781715247,10.4499998092651,11.3075439513184,2159.07229327836
"5","11 bis vor 14",37693,2.31666267587461,31.3600006103516,9.4890974304025,1046.26070236035
"6","14 bis vor 17",43375,2.42909387804249,51.2999992370605,10.3351008583836,867.995551485393
"7","17 bis vor 20",34742,2.54859653057827,31.3600006103516,9.68335932462436,705.901227165702
"8","20 bis vor 22",7819,2.38966244526081,34.2999992370605,9.57783347262566,684.195750657087
"9","ab 22 Uhr",4060,2.88591320645043,30.3999996185303,10.9397807778543,550.618621730748
