"","cat.val","num.trips","alpha","x.min","av","v1"
"1","Freizeit",61152,2.09610072830624,30.3799991607666,13.5479719398405,2209.65247500462
"2","Arbeit",25808,2.70740056740588,38.9500007629395,17.3995334655618,1654.51002254545
"3","Einkauf",40322,2.8821166415994,35.1500015258789,5.19362282065546,196.731270602869
"4","dienstlich",2706,1.81599830410804,12.3500003814697,36.5787952863759,8011.00305517488
"5","Ausbildung",12704,3.05955655877252,31.0699996948242,8.15400659685582,574.28748980445
"6","Begleitung",16447,2.49558647774709,32.2999992370605,7.73638351352036,476.699033408624
"7","Erledigung",23716,2.51200993973522,45.1300010681152,8.05596305283977,593.809599632641
