"","trip.mode","number.of.trips","alpha","x.min","av","v1"
"1","all_modes",55583,2.14575403718859,0.0348304101598193,0.0118616033053241,0.00179368060703915
"2","MIV (Fahrer)",20736,2.29353851665603,0.0413333335117987,0.0153326919876882,0.00176147630521133
"3","zu Fu",14495,3.76314871472799,0.138297865732433,0.0301136370881195,0.00203434059548933
"4","PV",7030,1.98753477273389,0.0344475217509834,0.0204514250345009,0.00454785733766179
"5","Fahrrad",5659,2.71302247904507,0.0649999988322355,0.0351883223664023,0.00310709164636577
