trip.mode & number.of.trips & alpha & x.min & av & v1
all modes & 55583 & 2.15 & 0.03 & 0.01 & 0.00
walking & 14495 & 3.76 & 0.14 & 0.03 & 0.00
bicycling & 5659 & 2.71 & 0.06 & 0.04 & 0.00
auto. Driver & 20736 & 2.29 & 0.04 & 0.02 & 0.00
public trans. & 7030 & 1.99 & 0.03 & 0.02 & 0.00
auto. Passenger & 7658 & 2.00 & 0.03 & 0.02 & 0.00
