"x.values" "ccdf"
"1" 0.1 1
"2" 0.2 0.996793145947757
"3" 0.3 0.993562360148855
"4" 0.4 0.990223881489991
"5" 0.5 0.973340034222398
"6" 0.6 0.96793145947757
"7" 0.7 0.964413492718766
"8" 0.8 0.955427121848488
"9" 0.9 0.951861291596367
"10" 1 0.898218281461272
"11" 1.1 0.896746479041773
"12" 1.2 0.889459262184251
"13" 1.3 0.886515657345251
"14" 1.4 0.884672912852545
"15" 1.5 0.84958897225114
"16" 1.6 0.844886384032739
"17" 1.7 0.842122267293678
"18" 1.8 0.839501741034569
"19" 1.9 0.768831293151931
"20" 2 0.768005647892211
"21" 2.1 0.765624439099688
"22" 2.2 0.764559476373383
"23" 2.3 0.762932117600603
"24" 2.4 0.740938842421414
"25" 2.5 0.73987387969511
"26" 2.6 0.737971305835756
"27" 2.7 0.736870445489464
"28" 2.8 0.736331981189647
"29" 2.9 0.669000011965873
"30" 3 0.668186332579483
"31" 3.1 0.666953847626569
"32" 3.2 0.665242727740484
"33" 3.3 0.664692297567338
"34" 3.4 0.652223857558244
"35" 3.5 0.651027270225317
"36" 3.6 0.64951957018583
"37" 3.7 0.647856313793062
"38" 3.8 0.59482356319776
"39" 3.9 0.594620143351162
"40" 4 0.593770566344785
"41" 4.1 0.592657740125163
"42" 4.2 0.592298763925285
"43" 4.3 0.584820093094494
"44" 4.4 0.584114106568068
"45" 4.5 0.583491881154946
"46" 4.6 0.582654270021898
"47" 4.7 0.582175635088727
"48" 4.8 0.521197544602793
"49" 4.9 0.520994124756195
"50" 5 0.520324035849757
"51" 5.1 0.519749673929952
"52" 5.2 0.518924028670233
"53" 5.3 0.515812901604624
"54" 5.4 0.515190676191502
"55" 5.5 0.514927426978258
"56" 5.6 0.514161611085185
"57" 5.7 0.474602433858635
"58" 5.8 0.474602433858635
"59" 5.9 0.473980208445513
"60" 6 0.472723791745941
"61" 6.1 0.472352849672733
"62" 6.2 0.469217790860466
"63" 6.3 0.469074200380515
"64" 6.4 0.467482739227723
"65" 6.5 0.467159660647832
"66" 6.6 0.466848547941272
"67" 6.7 0.434696246305537
"68" 6.8 0.43414581613239
"69" 6.9 0.433595385959244
"70" 7 0.433236409759366
"71" 7.1 0.432985126419452
"72" 7.2 0.428988524727477
"73" 7.3 0.42878510488088
"74" 7.4 0.428545787414294
"75" 7.5 0.428007323114478
"76" 7.6 0.392492611073219
"77" 7.7 0.392432781706573
"78" 7.8 0.391738761053475
"79" 7.9 0.391391750726927
"80" 8 0.390326788000622
"81" 8.1 0.387634466501538
"82" 8.2 0.387407114908282
"83" 8.3 0.386796855368489
"84" 8.4 0.38629428868866
"85" 8.5 0.38612676646205
"86" 8.6 0.372425841500042
"87" 8.7 0.372174558160127
"88" 8.8 0.371875411326896
"89" 8.9 0.371540366873676
"90" 9 0.371229254167115
"91" 9.1 0.37000873508753
"92" 9.2 0.36985317873425
"93" 9.3 0.369673690634311
"94" 9.4 0.369518134281031
"95" 9.5 0.326692273635591
"96" 9.6 0.326692273635591
"97" 9.7 0.326488853788994
"98" 9.8 0.326333297435713
"99" 9.9 0.32590252599586
"100" 10 0.324945256129519
"101" 10.1 0.32476576802958
"102" 10.2 0.324442689449689
"103" 10.3 0.323976020389848
"104" 10.4 0.323964054516519
"105" 10.5 0.31108877481423
"106" 10.6 0.311028945447584
"107" 10.7 0.310801593854327
"108" 10.8 0.31076569623434
"109" 10.9 0.310669969247706
"110" 11 0.310167402567876
