"x.values" "ccdf"
"1" 0.1 1
"2" 0.2 0.996572350292358
"3" 0.3 0.992741447677935
"4" 0.4 0.989885072921567
"5" 0.5 0.972175549432086
"6" 0.6 0.968411855635459
"7" 0.7 0.965421063243498
"8" 0.8 0.957860071241347
"9" 0.9 0.956381477249815
"10" 1 0.900564554069494
"11" 1.1 0.899724443847033
"12" 1.2 0.89501982660125
"13" 1.3 0.892902748840648
"14" 1.4 0.891088110760132
"15" 1.5 0.854224074198535
"16" 1.6 0.852039787620136
"17" 1.7 0.850258753948518
"18" 1.8 0.847772027690033
"19" 1.9 0.774211976611331
"20" 2 0.773506284024464
"21" 2.1 0.771926876806237
"22" 2.2 0.770683513676994
"23" 2.3 0.769977821090127
"24" 2.4 0.747731702399355
"25" 2.5 0.7467571745413
"26" 2.6 0.746152295181128
"27" 2.7 0.745379393776463
"28" 2.8 0.745076954096377
"29" 2.9 0.674003629276161
"30" 3 0.67380200282277
"31" 3.1 0.672894683782512
"32" 3.2 0.67272666173802
"33" 3.3 0.671920155924457
"34" 3.4 0.659419315814235
"35" 3.5 0.65888164527186
"36" 3.6 0.658478392365078
"37" 3.7 0.657974326231602
"38" 3.8 0.600174742926272
"39" 3.9 0.600174742926272
"40" 4 0.599502654748303
"41" 4.1 0.599166610659319
"42" 4.2 0.598763357752537
"43" 4.3 0.591101552523691
"44" 4.4 0.590799112843605
"45" 4.5 0.590328651119027
"46" 4.6 0.58982458498555
"47" 4.7 0.589589354123261
"48" 4.8 0.529504671012837
"49" 4.9 0.52943746219504
"50" 5 0.529034209288259
"51" 5.1 0.528630956381477
"52" 5.2 0.528194099065797
"53" 5.3 0.525673768398414
"54" 5.4 0.525371328718328
"55" 5.5 0.525136097856039
"56" 5.6 0.524732844949257
"57" 5.7 0.482626520599503
"58" 5.8 0.482626520599503
"59" 5.9 0.482156058874924
"60" 6 0.481954432421534
"61" 6.1 0.48138315747026
"62" 6.2 0.477821090127025
"63" 6.3 0.477753881309228
