log10.xvals,log10.ccdf,
148,1.1702617154,-2.6480444401
149,1.1731862684,-2.6480444401
150,1.1760912591,-2.6480444401
151,1.1789769473,-2.6480444401
152,1.1818435879,-2.6480444401
153,1.1846914308,-2.6480444401
154,1.1875207208,-2.6480444401
155,1.1903316982,-2.6569079005
156,1.1931245984,-2.6569079005
157,1.1958996524,-2.7194003487
158,1.198657087,-2.7194003487
159,1.2013971243,-2.7194003487
160,1.2041199827,-2.7194003487
161,1.206825876,-2.7194003487
162,1.2095150145,-2.7194003487
163,1.2121876044,-2.7194003487
164,1.214843848,-2.7194003487
165,1.2174839442,-2.7194003487
166,1.220108088,-2.7194003487
167,1.2227164711,-2.7515850321
168,1.2253092817,-2.7515850321
169,1.2278867046,-2.7515850321
170,1.2304489214,-2.7515850321
171,1.2329961104,-2.7515850321
172,1.2355284469,-2.7515850321
173,1.2380461031,-2.7515850321
174,1.2405492483,-2.7515850321
175,1.2430380487,-2.7515850321
176,1.2455126678,-2.7515850321
177,1.2479732664,-2.7985815947
178,1.2504200023,-2.7985815947
179,1.252853031,-2.7985815947
180,1.2552725051,-2.7985815947
181,1.2576785749,-2.7985815947
182,1.260071388,-2.7985815947
183,1.2624510897,-2.7985815947
184,1.264817823,-2.7985815947
185,1.2671717284,-2.7985815947
186,1.2695129442,-2.7985815947
187,1.2718416065,-2.811170722
188,1.2741578493,-2.811170722
189,1.2764618042,-2.811170722
190,1.278753601,-2.811170722
191,1.2810333672,-2.811170722
192,1.2833012287,-2.811170722
193,1.285557309,-2.811170722
194,1.2878017299,-2.811170722
195,1.2900346114,-2.811170722
196,1.2922560714,-2.811170722
197,1.2944662262,-3.0204303443
198,1.2966651903,-3.0204303443
199,1.2988530764,-3.0204303443
200,1.3010299957,-3.0204303443
201,1.3031960574,-3.0204303443
202,1.3053513694,-3.0204303443
203,1.3074960379,-3.0204303443
204,1.3096301674,-3.0204303443
205,1.3117538611,-3.0204303443
206,1.3138672204,-3.0526150277
207,1.3159703455,-3.0526150277
208,1.318063335,-3.0526150277
209,1.3201462861,-3.0526150277
210,1.3222192947,-3.0526150277
211,1.3242824553,-3.0526150277
212,1.3263358609,-3.0526150277
213,1.3283796034,-3.0526150277
214,1.3304137733,-3.0526150277
215,1.3324384599,-3.0526150277
216,1.3344537512,-3.0526150277
217,1.3364597338,-3.0526150277
